pair_id,label,event_a_title,event_a_start,event_a_lineup,event_a_price,event_a_source,event_b_title,event_b_start,event_b_lineup,event_b_price,event_b_source,venue,party_night,event_a_url,event_b_url
b4fbb8,SAME,Alok presents Rave The World,2026-08-01 22:00,Alok,,ra,Alok,2026-08-01 22:00,Alok,$238.71,dice,Pacha New York,2026-08-01,https://ra.co/events/2461171,https://dice.fm/event/alok-1st-aug-pacha-new-york-new-york-city-tickets
faca64,SAME,House Matters: SPHYNX Boat Party [house music night sail],2026-08-01 22:00,,,ra,SPHYNX Boat Party [House Music Night Sail],2026-08-01 22:00,,$32.45,dice,Pier 78 at Hudson River Park,2026-08-01,https://ra.co/events/2486997,https://dice.fm/event/sphynx-boat-party-house-music-night-sail-1st-aug-pier-78-at-hudson-river-park-new-york-city-tickets
2ed8f1,SAME,"The Nursery: Love Injection, Kamma & Masalo",2026-08-16 15:00,Love Injection; Kamma; Masalo; Kamma; Masalo,$21.63,dice,"The Nursery: Love Injection, Kamma & Masalo",2026-08-16 15:00,Love Injection; Kamma; Masalo,,ra,public records,2026-08-16,https://dice.fm/event/the-nursery-love-injection-kamma-masalo-16th-aug-public-records-new-york-tickets,https://ra.co/events/2412463
6baa13,DISTINCT,EDMBoat.com - #1 EDM HOUSE SUNSET BOAT 2026,2026-08-15 18:00,,,ra,Caribbean Vibes Weekly Party Yacht Cruises NYC,2026-08-15 23:00,,$28.33,dice,Skyport Marina,2026-08-15,https://ra.co/events/2434486,https://dice.fm/event/caribbean-vibes-weekly-party-yacht-cruises-nyc-15th-aug-skyport-marina-new-york-tickets
fdd67f,SAME,Omar ؏,2026-08-15 18:00,,,ra,Omar ؏,2026-08-15 18:00,Omar ؏,$24.00,dice,SILO,2026-08-15,https://ra.co/events/2496150,https://dice.fm/event/omar-15th-aug-silo-brooklyn-brooklyn-tickets
423670,SAME,Teksupport: Carlita (extended set) SOLD OUT,2026-08-07 23:00,Carlita,,ra,Teksupport: Carlita (extended set) SOLD OUT,2026-08-07 23:00,Carlita,,dice,Sunset Park Rooftop,2026-08-07,https://ra.co/events/2428382,https://dice.fm/event/teksupport-carlita-extended-set-sold-out-7th-aug-sunset-park-rooftop-brooklyn-tickets
4ba54b,SAME,"The Nursery: Diva Diva w/ Grace Sands, The Carry Nation, Saia & Sevyn Love, Keith Lawrence",2026-08-09 15:00,Grace Sands; The Carry Nation; Saia; Sevyn Love,,ra,"The Nursery: Diva Diva w/ Grace Sands, The Carry Nation, Saia & Sevyn Love, Keith Lawrence [Viola]",2026-08-09 15:00,The Carry Nation; sevyn love; Keith Lawrence,$21.63,dice,public records,2026-08-09,https://ra.co/events/2412458,https://dice.fm/event/the-nursery-diva-diva-w-grace-sands-the-carry-nation-saia-sevyn-love-keith-lawrence-viola-9th-aug-public-records-new-york-tickets
c35bc3,DISTINCT,Joker,2026-08-13 22:30,Joker,,ra,salt district mayor presents Taiwan Vinyl Night with vicki huang [UPSTAIRS],2026-08-13 20:00,,,dice,public records,2026-08-13,https://ra.co/events/2477912,https://dice.fm/event/salt-district-mayor-presents-taiwan-vinyl-night-with-vicki-huang-upstairs-13th-aug-public-records-new-york-tickets
151b83,DISTINCT,R&B on the River - Sunset Boat Party Yacht Cruise,2026-08-22 17:00,,,ra,Disco & House NYC Sunset Cruise Day Party,2026-08-22 17:00,DJ eh; Branqueeno; Bustin' Loose; Roland; Brother Rich; Sarindipity; Smurfo,$39.66,dice,Pier 78 at Hudson River Park,2026-08-22,https://ra.co/events/2441343,https://dice.fm/event/disco-house-nyc-sunset-cruise-day-party-22nd-aug-pier-78-at-hudson-river-park-new-york-city-tickets
5d5c81,SAME,Perreo Meets Techno (21+),2026-08-22 23:00,,,ra,Perreo Meets Techno (21+),2026-08-22 23:00,,$0.00,dice,The Meadows,2026-08-22,https://ra.co/events/2488207,https://dice.fm/event/perreo-meets-techno-21-22nd-aug-the-meadows-new-york-tickets
f339d6,SAME,Reggaeton Throwbacks (21+),2026-08-08 23:00,,,ra,REGGAETON OPEN BAR  (21+),2026-08-08 23:00,,$20.00,dice,The Meadows,2026-08-08,https://ra.co/events/2480447,https://dice.fm/event/reggaeton-open-bar-21-8th-aug-the-meadows-new-york-tickets
469007,SAME?,Charlotte de Witte,2026-08-07 22:00,Charlotte de Witte,,ra,Claude VonStroke in The Ruins,2026-08-07 15:00,Claude Vonstroke,$38.17,dice,Knockdown Center,2026-08-07,https://ra.co/events/2432019,https://dice.fm/event/claude-vonstroke-in-the-ruins-7th-aug-ruins-at-knockdown-center-new-york-tickets
003aae,SAME,"Neon Soul [Modern Soul, Groove & Funk]",2026-08-14 23:00,,,ra,"Neon Soul [Modern Soul, Groove & Funk]",2026-08-14 23:00,,$11.33,dice,TV EYE,2026-08-14,https://ra.co/events/2499388,https://dice.fm/event/neon-soul-modern-soul-groove-funk-14th-aug-tv-eye-new-york-city-tickets
48cea9,SAME,SUPERSTRUCTURE,2026-07-31 22:00,,$33.48,dice,Superstructure,2026-07-31 22:00,Scotia; Ushka,,ra,C'mon Everybody,2026-07-31,https://dice.fm/event/superstructure-31st-jul-cmon-everybody-new-york-tickets,https://ra.co/events/2498329
41b26f,SAME,Shallou (DJ Set) - Friends In High Places,2026-08-07 17:00,Shallou,$29.99,dice,Friends In High Places feat. Shallou,2026-08-07 17:00,Shallou,,ra,Westlight Rooftop at The William Vale,2026-08-07,https://dice.fm/event/shallou-dj-set-friends-in-high-places-7th-aug-westlight-rooftop-at-the-william-vale-new-york-city-tickets,https://ra.co/events/2414912
c9de59,SAME,Teksupport: Miguelle & Tons (open to close),2026-08-01 23:00,Miguelle; Tons,$72.72,dice,Teksupport: Miguelle & TONS (open to close),2026-08-01 23:00,Miguelle; TONS,,ra,Sunset Park Rooftop,2026-08-01,https://dice.fm/event/teksupport-miguelle-tons-open-to-close-1st-aug-sunset-park-rooftop-brooklyn-tickets,https://ra.co/events/2412610
5cc23f,SAME,Mickey Perez All Night,2026-08-22 22:00,Mickey Perez,,ra,Mickey Perez All Night,2026-08-22 22:00,Mickey Pérez,$11.33,dice,Jupiter Disco,2026-08-22,https://ra.co/events/2488981,https://dice.fm/event/mickey-perez-all-night-22nd-aug-jupiter-disco-new-york-city-tickets
efdc1c,DISTINCT,House Music on the Hudson Boat Party Yacht Cruise NYC,2026-08-01 22:00,,,ra,SPHYNX Boat Party [House Music Night Sail],2026-08-01 22:00,,$32.45,dice,Pier 78 at Hudson River Park,2026-08-01,https://ra.co/events/2491974,https://dice.fm/event/sphynx-boat-party-house-music-night-sail-1st-aug-pier-78-at-hudson-river-park-new-york-city-tickets
b47016,SAME,The Nursery: Soul Summit All Day Long,2026-08-02 15:00,Soul Summit Music,,ra,The Nursery: Soul Summit All Day Long,2026-08-02 15:00,Soul Summit,$26.78,dice,public records,2026-08-02,https://ra.co/events/2412434,https://dice.fm/event/the-nursery-soul-summit-all-day-long-2nd-aug-public-records-new-york-tickets
52c3ea,DISTINCT,Sunset Latin & Reggaeton Yacht Party - Avalon Yacht - August 1,2026-08-01 17:30,,,ra,HAUS ON HUDSON: SUNSET YACHT PARTY,2026-08-01 17:30,,$34.77,dice,Skyport Marina,2026-08-01,https://ra.co/events/2499828,https://dice.fm/event/haus-on-hudson-sunset-yacht-party-1st-aug-skyport-marina-new-york-tickets
2495c5,SAME,House Matters: Sam Allan Boat Party [ house music on the Hudson ],2026-07-31 22:00,,,ra,House Matters: Sam Allan’s Birthday Celebration Continuation!,2026-07-31 22:00,Sam Allan,$35.00,dice,Pier 78 at Hudson River Park,2026-07-31,https://ra.co/events/2484969,https://dice.fm/event/house-matters-sam-allans-birthday-celebration-continuation-31st-jul-pier-78-at-hudson-river-park-new-york-city-tickets
efdd3a,DISTINCT,EDMBoat.com - #1 EDM HOUSE SUNSET BOAT 2026,2026-08-01 18:00,,,ra,Caribbean Vibes Weekly Party Yacht Cruises NYC,2026-08-01 23:00,,$28.33,dice,Skyport Marina,2026-08-01,https://ra.co/events/2434477,https://dice.fm/event/caribbean-vibes-weekly-party-yacht-cruises-nyc-1st-aug-skyport-marina-new-york-tickets
f02478,SAME,Teksupport: Cloonee (Hellbent),2026-08-15 16:00,Cloonee,,ra,Teksupport: Cloonee + more  (Hellbent),2026-08-15 16:00,Cloonee; Ilario Alicante; Elliot Schooling; Liam Palmer,$90.64,dice,Brooklyn Army Terminal,2026-08-15,https://ra.co/events/2386213,https://dice.fm/event/teksupport-cloonee-more-hellbent-15th-aug-brooklyn-army-terminal-pier-4-new-york-city-tickets
3bd855,SAME,"Ana Rs, Henry Chow / John Tejada, e-Lite / Jesse Dorris",2026-07-31 23:00,Ana Rs; Henry Chow; John Tejada; e-Lite,,ra,"Ana Rs, Henry Chow / John Tejada, e-Lite / Jesse Dorris",2026-07-31 23:00,Ana Rs; Henry Chow; John Tejada,$31.93,dice,public records,2026-07-31,https://ra.co/events/2458979,https://dice.fm/event/ana-rs-henry-chow-john-tejada-e-lite-jesse-dorris-31st-jul-public-records-new-york-tickets
2e1496,SAME,"Sunday Skate Club: RIDE THE SPACESHIP ft. Sebastian Posso, LivBpm, Malachi, & auden barbour  (skate all night)",2026-08-02 20:00,,$10.82,dice,"Sunday Skate Club: RIDE THE SPACESHIP ft. Sebastian Posso, LivBpm, Malachi, & auden barbour ",2026-08-02 20:00,Sebastian Posso; LivBpm; Malachi (2),,ra,Xanadu,2026-08-02,https://dice.fm/event/sunday-skate-club-ride-the-spaceship-ft-sebastian-posso-livbpm-malachi-auden-barbour-skate-all-night-2nd-aug-xanadu-new-york-city-tickets,https://ra.co/events/2484904
9b3148,SAME,"The Nursery: Gerd Janson, Ron Like Hell",2026-08-23 15:00,Gerd Janson; Ron Like Hell,,ra,"The Nursery: Gerd Janson, Ron Like Hell",2026-08-23 15:00,Gerd Janson; Ron Like Hell,$21.63,dice,public records,2026-08-23,https://ra.co/events/2412469,https://dice.fm/event/the-nursery-gerd-janson-ron-like-hell-23rd-aug-public-records-new-york-tickets
956ee0,SAME,"AC Slater w. Chinonegro, Facu Baez & Guests",2026-08-23 14:00,AC Slater; Chinonegro; Boy Sanders; Riva; Bianca,,ra,"AC Slater w. Chinonegro, Facu Baez & More",2026-08-23 14:00,AC Slater,$23.37,dice,Superior Ingredients,2026-08-23,https://ra.co/events/2431143,https://dice.fm/event/ac-slater-w-chinonegro-facu-baez-more-23rd-aug-the-roof-at-superior-ingredients-new-york-tickets
8cac99,SAME,Open Decks with STEEN and Rhythm Rails,2026-08-12 19:00,STEEN,,ra,Open Decks w/ Steen and Rhythm Rails,2026-08-12 19:00,,$0.00,dice,SILO,2026-08-12,https://ra.co/events/2475848,https://dice.fm/event/open-decks-w-steen-and-rhythm-rails-12th-aug-silo-brooklyn-brooklyn-tickets
